ID;TYPE;LIBELLE;IMP;NB;URL
6179;BASKET_SPORTIF;Valériane Vukosavljevic;51;1;https://www.lequipe.fr/Basket/BasketFicheJoueur6179.html
627;BASKET_SPORTIF;Antoine Rigaudeau;37;1;https://www.lequipe.fr/Basket/BasketFicheJoueur627.html
6293;TENNIS_SPORTIF;Fiona Ferro;491;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur6293.html
6410;BASKET_SPORTIF;Guerschon Yabusele;271;1;https://www.lequipe.fr/Basket/BasketFicheJoueur6410.html
6542;RUGBY_SPORTIF;Michael Hooper;68;2;https://www.lequipe.fr/Rugby/RugbyFicheJoueur6542.html
6677;TENNIS_SPORTIF;Naomi Osaka;1222;5;https://www.lequipe.fr/Tennis/TennisFicheJoueur6677.html
6692;ESCRIME_SPORTIF;Laura Flessel Colovic;188;8;https://www.lequipe.fr/Sport/AussiFicheAthlete6692.html
7139;BASKET_SPORTIF;Zach Lavine;52;2;https://www.lequipe.fr/Basket/BasketFicheJoueur7139.html
7223;BASKET_SPORTIF;Frank Ntilikina;434;2;https://www.lequipe.fr/Basket/BasketFicheJoueur7223.html
7238;BASKET_SPORTIF;Olivia Epoupa;41;5;https://www.lequipe.fr/Basket/BasketFicheJoueur7238.html
7313;BASKET_SPORTIF;Nikola Jokic;423;1;https://www.lequipe.fr/Basket/BasketFicheJoueur7313.html
7574;FOOTBALL_SPORTIF;Didier Drogba;1932;1;https://www.lequipe.fr/Football/FootballFicheJoueur7574.html
7631;BASKET_SPORTIF;Luka Doncic;485;4;https://www.lequipe.fr/Basket/BasketFicheJoueur7631.html
7643;FOOTBALL_SPORTIF;Craig Bellamy;62;8;https://www.lequipe.fr/Football/FootballFicheJoueur7643.html
7718;BASKET_SPORTIF;Devin Booker;111;2;https://www.lequipe.fr/Basket/BasketFicheJoueur7718.html
7776;RUGBY_SPORTIF;Antoine Dupont;1061;7;https://www.lequipe.fr/Rugby/RugbyFicheJoueur7776.html
7809;BASKET_SPORTIF;Marine Johannès;140;3;https://www.lequipe.fr/Basket/BasketFicheJoueur7809.html
8191;ATHLETISME_SPORTIF;Michel Jazy;100;1;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete8191.html
8339;EQUITATION_SPORTIF;Pierre Durand;1;1;https://www.lequipe.fr/Sport/AussiFicheAthlete8339.html
8446;NATATION_SPORTIF;Richard Pound;5;2;https://www.lequipe.fr/Natation/NatationFicheAthlete8446.html
8479;BASKET_SPORTIF;Alexia Chartereau;-82;1;https://www.lequipe.fr/Basket/BasketFicheJoueur8479.html
8665;CYCLISME_SPORTIF;Jeannie Longo-Ciprelli;113;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur8665.html
8763;CYCLISME_SPORTIF;Fabian Cancellara;482;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur8763.html
882;BASKET_SPORTIF;Kobe Bryant;1070;9;https://www.lequipe.fr/Basket/BasketFicheJoueur882.html
8930;TENNIS_SPORTIF;Ugo Humbert;1255;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur8930.html
8;VOILE_SPORTIF;CAMMAS Franck;396;1;https://www.lequipe.fr/Voile/AussiFicheAthlete8.html
9095;CYCLISME_SPORTIF;Simon Clarke;30;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur9095.html
9181;CYCLISME_SPORTIF;Dan Martin;164;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur9181.html
